muuseum,p1um
üldajalugu kateeder,fayk
ülikool ajalugu muuseum,p1um01
ettevalmistuskursus,ykek
kunstimuuseum,p1um02
filosoofia ja pol . teadus kateeder,ykfp
loodusmuuseum,p1um03
kultuur kateeder,ykka
geoloogiamuuseum,p1um03gm
kvalifikatsioonitostmiskursus,ykkf
zooloogiamuuseum,p1um03zm
kultuur kabinet,ykkk
näitus ja loodusharidus osakond,p1um03lk
kunst kabinet,ykkn
botaanika ja mükoloogiamuuseum,p1um03bm
kodundus kabinet,ykko
tartu ülikool botaanikaaed,p1ba
kodukultuur kabinet,ykku
muusika kabinet,ykmk
mootelabor,ykml
nlkp ajalugu kateeder,yknl
pedagoogika oppelabor,ykpe
pedagoogika ja metoodika kateeder,ykpm
poliitiline ökonoomika kateeder,ykpo
sotsialism ajalugu kateeder,yksa
sojandus kateeder,yksk
teaduslik kommunism kateeder,yktk
tulekaitse ja ohutustehnika labor,ykto
ühiskonnateadus oppekabinet,ykyo
ohutustalitus,k1kv05
muu osakond ( vananenud ),muud
üld-ja molek . patol . instit .,armp1
üld-ja molekulaarpatoloogia inst,armp2
üld-ja molekulaarpat . instit .,armp3
sotsioloogia osakond,flso1
haldusprorektor maj kulu,dhmaj
kinnisvara osakond ( vana ),p3kv1
haldusprorektor maj kulu,p3maj
kirikulugu õppetool,usus01
süstemaatiline usuteadus õppetool,usus02
praktiline usuteadus õppetool,usus03
uus testament õppetool,usus04
vana testament ja semitistikk õppetool,usus05
võrdlev usuteadus õppetool,usus06
luterlik usuteadus õppetool,usus07
"kriminaalõigus , kriminoloogia ja kognitiivne psühholoogia õppetool",oiao01
kriminoloogia õppetool,oiao02
protsessiõigus õppetool,oiao03
riik ja haldusõigus õppetool,oiao05
võrdlev õigusteadus õppetool,oiao06
õpetaja täienduskoolitus ja kutseaasta keskus,htht12
kriminalistika ja kriminoloogia oppetool,oiaokk
kriminaaloigus oppetool,oiaokr
protsessioigus oppetool,oiaopr
riik ja haldusoigus oppetool,oiaorh
vordleva oigusteadus oppetool,oiaovo
õigus ajalugu õppetool,oieo01
keskkonnaõigus õppetool,oieo02
rahvusvaheline eraõigus õppetool,oieo03
tsiviilõigus õppetool,oieo04
töö-ja sotsiaalhooldusõigus õppetool,oieo05
eesti riik ja oigus ajalugu oppetool,oieoeo
rahvusvaheline eraoigus oppetool,oieore
tsiviil-ja kaubandusoigus oppetool,oieotk
töö-ja sotsiaalhooldusoigus oppetool,oieots
anestesioloogia ja intensiivravi õppetool,arai01
inimene anatoomia õppetool,aran01
histoloogia ja embrüoloogia õppetool,aran02
kirurgiline anatoomia õppetool,aran03
meditsiiniline biokeemia õppetool,arbk01
farmakognoosia ja farmaatsia organisatsioon õppetool,arfa01
terviseinfo analüüsigrupp,arth07
ravim tehnoloogia ja biofarmaatsia õppetool,arfa02
farmakoloogia õppetool,arfr01
farmakoloogia ja toksikoloogia õppetool,arfr02
kliiniline farmakoloogia õppetool,arfr03
füsioloogia õppetool,arfs01
radioloogia õppetool,arho01
hematoloogia-onkoloogia õppetool,arho02
eksperimentaalne onkoloogia õppetool,arho03
kardioloogia õppetool,arka01
kardiotorakaalkirurgia õppetool,arka02
kardiovaskulaar-ja torakaalkirurgia õppetool,arkd01
üldkirurgia õppetool,arki01
kirurgiline haigus õppetool,arki02
otorinolarüngoloogia õppetool,arkr01
pulmonoloogia õppetool,arks01
pediaatria õppetool,arla01
meditsiiniline mikrobioloogia ja viroloogia õppetool,armb01
inimene bioloogia ja geneetika õppetool,armp01
